name,brand,price,unit,fiberType,density,tensileStrength,flexuralStrength,waterAbsorption,elongation,chemicalResistance,ecoCertification,manufactureDate,expiryDate
Fiberglass Product-1,Johns Manville,11.62,kg,Basalt,2.41,3187.33,375.67,0.0216,3.88,Good,None,2023/3/26,2025/4/29
Fiberglass Product-2,Taishan Fiberglass,26.49,kg,S-Glass,2.49,1722.76,115.06,0.0391,1.66,Good,ISO 14001,2023/11/26,2026/2/12
Fiberglass Product-3,3B-the Fibreglass Company,30.68,kg,E-Glass,2.68,2865.73,396.52,0.0519,2.25,Poor,ISO 14001,2023/10/8,2026/6/30
Fiberglass Product-4,Owens Corning,69.85,kg,Basalt,2.65,3379.22,346.01,0.1119,2.82,Poor,"RoHS, REACH",2025/1/29,2027/10/10
Fiberglass Product-5,Johns Manville,76.37,kg,C-Glass,2.41,2565.45,498.82,0.0101,1.64,Good,ISO 14001,2025/1/5,2026/10/4
Fiberglass Product-6,Owens Corning,79.6,kg,S-Glass,2.46,2618.09,468.4,0.1651,2.04,Poor,None,2024/9/2,2027/5/28
Fiberglass Product-7,Nippon Electric Glass,23.79,kg,E-Glass,2.68,2179.39,412.8,0.1655,3,Excellent,"RoHS, REACH",2023/12/5,2025/9/2
Fiberglass Product-8,AGY,20.01,kg,C-Glass,2.51,3413.57,239.26,0.139,4.02,Excellent,"RoHS, REACH",2024/7/11,2025/11/25
Fiberglass Product-9,Taishan Fiberglass,22.93,kg,C-Glass,2.49,2673.89,152.2,0.0569,2.08,Poor,None,2023/6/2,2024/6/26
Fiberglass Product-10,CPIC,62.92,kg,S-Glass,2.61,3437.52,207.35,0.0197,3.88,Moderate,"RoHS, REACH",2024/7/22,2026/9/28
Fiberglass Product-11,Johns Manville,60.57,kg,Carbon,2.47,2965.72,495.95,0.0719,3.53,Excellent,None,2024/4/27,2025/9/17
Fiberglass Product-12,CPIC,10.47,kg,E-Glass,2.49,3126.22,407.85,0.1788,3.35,Good,ISO 14001,2024/2/24,2027/1/2
Fiberglass Product-13,Shangwei,86.24,kg,C-Glass,2.56,3424.38,411.34,0.1849,1.92,Moderate,"RoHS, REACH",2024/1/14,2025/7/24
Fiberglass Product-14,Saint-Gobain Vetrotex,96.04,kg,Carbon,2.64,1799.37,405.13,0.0896,2.98,Excellent,None,2024/3/26,2025/4/21
Fiberglass Product-15,Nippon Electric Glass,20.72,kg,Basalt,2.5,3490.36,115.57,0.0455,3.58,Moderate,None,2024/4/30,2026/11/22
Fiberglass Product-16,AGY,33.29,kg,C-Glass,2.4,3402.92,123.1,0.0182,3.9,Good,"RoHS, REACH",2023/5/20,2025/10/22
Fiberglass Product-17,Johns Manville,32.28,kg,Carbon,2.4,1973.11,305.54,0.0664,2.07,Excellent,ISO 14001,2024/5/23,2026/3/19
